Statistical profiling result from isolate-0x101804a00-v8.log, (565 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     76   13.5%          /usr/local/bin/node
      1    0.2%          /usr/lib/system/libsystem_platform.dylib
      1    0.2%          /usr/lib/system/libsystem_kernel.dylib
      1    0.2%          /usr/lib/libstdc++.6.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     60   10.6%   12.3%  LazyCompile: *analyzePoints /Users/mourner/projects/geobuf/encode.js:75:23
     40    7.1%    8.2%  LazyCompile: *populateLine /Users/mourner/projects/geobuf/encode.js:219:22
     26    4.6%    5.3%  LazyCompile: *readObjectField /Users/mourner/projects/geobuf/decode.js:56:25
     23    4.1%    4.7%  LazyCompile: *readLinePart /Users/mourner/projects/geobuf/decode.js:114:22
     18    3.2%    3.7%  LazyCompile: *analyze /Users/mourner/projects/geobuf/encode.js:38:17
      8    1.4%    1.6%  LazyCompile: *Pbf.readVarint /Users/mourner/projects/geobuf/node_modules/pbf/index.js:87:25
      6    1.1%    1.2%  Stub: GrowArrayElementsStub
      6    1.1%    1.2%  LazyCompile: *Pbf.writeVarint /Users/mourner/projects/geobuf/node_modules/pbf/index.js:258:26
      5    0.9%    1.0%  Stub: GrowArrayElementsStub {2}
      5    0.9%    1.0%  Stub: GrowArrayElementsStub {1}
      5    0.9%    1.0%  LazyCompile: *writePackedSVarint /Users/mourner/projects/geobuf/node_modules/pbf/index.js:419:28
      3    0.5%    0.6%  LazyCompile: *Pbf.writeRawMessage /Users/mourner/projects/geobuf/node_modules/pbf/index.js:332:30
      2    0.4%    0.4%  Stub: RecordWriteStub
      2    0.4%    0.4%  LazyCompile: *analyzePoint /Users/mourner/projects/geobuf/encode.js:79:22
      1    0.2%    0.2%  Stub: InstanceofStub
      1    0.2%    0.2%  Stub: BinaryOpICStub
      1    0.2%    0.2%  LazyCompile: ~readProps /Users/mourner/projects/geobuf/decode.js:100:19
      1    0.2%    0.2%  LazyCompile: ~populateLine /Users/mourner/projects/geobuf/encode.js:219:22
      1    0.2%    0.2%  LazyCompile: ~byteLength buffer.js:250:20
      1    0.2%    0.2%  LazyCompile: ~analyzePoints /Users/mourner/projects/geobuf/encode.js:75:23
      1    0.2%    0.2%  LazyCompile: ~Pbf.writeRawMessage /Users/mourner/projects/geobuf/node_modules/pbf/index.js:332:30
      1    0.2%    0.2%  LazyCompile: ~NativeModule.require node.js:850:34
      1    0.2%    0.2%  LazyCompile: *Pbf.readSVarint /Users/mourner/projects/geobuf/node_modules/pbf/index.js:127:26

 [C++]:
   ticks  total  nonlib   name
     25    4.4%    5.1%  __os_once
     22    3.9%    4.5%  void node::Wrap<node::ContextifyContext>(v8::Local<v8::Object>, node::ContextifyContext*)
     20    3.5%    4.1%  double v8::internal::InternalStringToDouble<unsigned char const*, unsigned char const*>(v8::internal::UnicodeCache*, unsigned char const*, unsigned char const*, int, double)
     15    2.7%    3.1%  v8::internal::List<v8::internal::Handle<v8::internal::Object>, v8::internal::ZoneAllocationPolicy>::Add(v8::internal::Handle<v8::internal::Object> const&, v8::internal::ZoneAllocationPolicy)
     14    2.5%    2.9%  v8::internal::JsonParser<true>::ParseJsonArray()
      9    1.6%    1.9%  v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateFixedArray(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*)
      7    1.2%    1.4%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      7    1.2%    1.4%  v8::internal::FlexibleBodyVisitor<v8::internal::MarkCompactMarkingVisitor, v8::internal::FixedArray::BodyDescriptor, void>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
      6    1.1%    1.2%  node::Buffer::Utf8Slice(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.9%    1.0%  v8::internal::Heap::AllocateEmptyFixedTypedArray(v8::internal::ExternalArrayType)
      5    0.9%    1.0%  v8::internal::Heap::AllocateEmptyFixedArray()
      4    0.7%    0.8%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
      4    0.7%    0.8%  v8::internal::Heap::DoScavenge(v8::internal::ObjectVisitor*, unsigned char*)
      4    0.7%    0.8%  ___munmap
      3    0.5%    0.6%  v8::internal::Handle<v8::internal::Object> v8::internal::HandleScope::CloseAndEscape<v8::internal::Object>(v8::internal::Handle<v8::internal::Object>)
      3    0.5%    0.6%  v8::internal::Factory::NewFixedArray(int, v8::internal::PretenureFlag)
      3    0.5%    0.6%  node::StartProfilerIdleNotifier(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.4%    0.4%  void std::__unguarded_linear_insert<v8::internal::Smi**, v8::internal::Smi*, v8::internal::EnumIndexComparator<v8::internal::GlobalDictionary> >(v8::internal::Smi**, v8::internal::Smi*, v8::internal::EnumIndexComparator<v8::internal::GlobalDictionary>)
      2    0.4%    0.4%  v8::internal::String::ToCString(v8::internal::AllowNullsFlag, v8::internal::RobustnessFlag, int, int, int*)
      2    0.4%    0.4%  v8::internal::ParseInfo::~ParseInfo()
      2    0.4%    0.4%  v8::internal::MarkCompactCollector::EvacuateNewSpaceAndCandidates()
      2    0.4%    0.4%  v8::internal::MarkCompactCollector::EmptyMarkingDeque()
      2    0.4%    0.4%  v8::internal::LGapResolver::BuildInitialMoveList(v8::internal::LParallelMove*)
      2    0.4%    0.4%  v8::internal::IncrementalMarking::OldSpaceStep(long)
      2    0.4%    0.4%  v8::internal::Heap::AllocateRawFixedArray(int, v8::internal::PretenureFlag)
      2    0.4%    0.4%  v8::internal::HValue::RepresentationFromInputs()
      2    0.4%    0.4%  v8::internal::Factory::NewHeapNumber(double, v8::internal::MutableMode, v8::internal::PretenureFlag)
      2    0.4%    0.4%  v8::internal::Context::script_context()
      2    0.4%    0.4%  node::InitFs(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Context>, void*)
      1    0.2%    0.2%  void v8::internal::RelocInfo::Visit<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*)
      1    0.2%    0.2%  void v8::internal::FlexibleBodyVisitor<v8::internal::MarkCompactMarkingVisitor, v8::internal::JSObject::BodyDescriptor, void>::VisitSpecialized<32>(v8::internal::Map*, v8::internal::HeapObject*)
      1    0.2%    0.2%  v8::internal::VariableProxy::BindTo(v8::internal::Variable*)
      1    0.2%    0.2%  v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>::Union(v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>*, v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>*, v8::internal::Zone*)
      1    0.2%    0.2%  v8::internal::TypeFeedbackOracle::GetInfo(v8::internal::TypeFeedbackId)
      1    0.2%    0.2%  v8::internal::Translation::BeginJSFrame(v8::internal::BailoutId, int, unsigned int)
      1    0.2%    0.2%  v8::internal::TimerEventScope<v8::internal::TimerEventRecompileSynchronous>::LogTimerEvent(v8::internal::Logger::StartEnd)
      1    0.2%    0.2%  v8::internal::TextNode::FilterOneByte(int, bool)
      1    0.2%    0.2%  v8::internal::TemplateHashMapImpl<v8::internal::ZoneAllocationPolicy>::Probe(void*, unsigned int) const
      1    0.2%    0.2%  v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      1    0.2%    0.2%  v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
      1    0.2%    0.2%  v8::internal::StoreBuffer::PrepareForIteration()
      1    0.2%    0.2%  v8::internal::StoreBuffer::IteratePointersInStoreBuffer(void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
      1    0.2%    0.2%  v8::internal::StoreBuffer::ClearFilteringHashSets()
      1    0.2%    0.2%  v8::internal::StaticNewSpaceVisitor<v8::internal::NewSpaceScavenger>::VisitFixedDoubleArray(v8::internal::Map*, v8::internal::HeapObject*)
